Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.067143,3.251429,3.041429,3.241071,2.740172,746015200
2009-01-05,3.3275,3.435,3.311071,3.377857,2.855819,1181608400
2009-01-06,3.426786,3.470357,3.299643,3.322143,2.808714,1289310400
2009-01-07,3.278929,3.303571,3.223571,3.250357,2.748023,753048800
2009-01-08,3.229643,3.326786,3.215714,3.310714,2.799052,673500800
2009-01-09,3.328929,3.335,3.219286,3.235,2.73504,546845600
2009-01-12,3.230714,3.249643,3.126786,3.166429,2.677066,617716400
2009-01-13,3.151429,3.205,3.083929,3.1325,2.648381,798397600
2009-01-14,3.08,3.116071,3.025714,3.0475,2.576517,1021664000
2009-01-15,2.8775,3.004286,2.858929,2.977857,2.517637,1831634000
2009-01-16,3.010714,3.013571,2.871429,2.940357,2.485933,1047625600
2009-01-20,2.926071,2.928571,2.792857,2.792857,2.361229,919914800
2009-01-21,2.835357,2.96,2.8325,2.958214,2.501029,1089270000
2009-01-22,3.144286,3.214286,3.065,3.155714,2.668007,1409528400
2009-01-23,3.100714,3.209643,3.089286,3.155714,2.668007,763770000
2009-01-26,3.173571,3.248929,3.153571,3.201429,2.706657,692238400
2009-01-27,3.221071,3.269643,3.205,3.240357,2.739568,618038400
2009-01-28,3.29,3.392857,3.267857,3.364286,2.844345,861406000
2009-01-29,3.324643,3.369286,3.307143,3.321429,2.808111,592729200
2009-01-30,3.307143,3.343571,3.214643,3.218929,2.721453,651478800
2009-02-02,3.182143,3.285714,3.175,3.268214,2.763121,558247200
2009-02-03,3.282857,3.335,3.224286,3.320714,2.807507,599309200
2009-02-04,3.329286,3.4375,3.325,3.341071,2.824718,808421600
2009-02-05,3.313214,3.473214,3.307857,3.445,2.912585,749246400
2009-02-06,3.465,3.571429,3.464286,3.561429,3.011019,687209600
2009-02-09,3.571429,3.678571,3.553571,3.661071,3.095262,715010800
2009-02-10,3.618929,3.661071,3.466429,3.493929,2.953952,849060800
2009-02-11,3.441786,3.511071,3.420357,3.457857,2.923455,674973600
2009-02-12,3.4225,3.5625,3.4225,3.545357,2.997432,817188400
2009-02-13,3.535357,3.569286,3.504286,3.541429,2.994111,608977600
2009-02-17,3.459643,3.465714,3.367143,3.376071,2.854308,678238400
2009-02-18,3.394643,3.423214,3.311429,3.370357,2.849478,684779200
2009-02-19,3.334643,3.366071,3.218214,3.237143,2.736852,922804400
2009-02-20,3.192857,3.3,3.178571,3.257143,2.75376,750316000
2009-02-23,3.273214,3.285714,3.089643,3.105357,2.625432,786982000
2009-02-24,3.123214,3.246071,3.107143,3.223214,2.725075,807105600
2009-02-25,3.209286,3.318571,3.1875,3.255714,2.752553,833053200
2009-02-26,3.285714,3.318571,3.177143,3.185357,2.693068,629868400
2009-02-27,3.140357,3.260714,3.131071,3.189643,2.696692,706658400
